# #Teff log(g)
4.601699999999999818e+03 4.601699999999999818e+03
5.115699999999999818e+03 5.115699999999999818e+03
4.781699999999999818e+03 4.781699999999999818e+03
3.984400000000000091e+03 3.984400000000000091e+03
3.773900000000000091e+03 3.773900000000000091e+03
3.394900000000000091e+03 3.394900000000000091e+03
4.944000000000000000e+03 4.944000000000000000e+03
4.565899999999999636e+03 4.565899999999999636e+03
5.348100000000000364e+03 5.348100000000000364e+03
5.437000000000000000e+03 5.437000000000000000e+03
5.204600000000000364e+03 5.204600000000000364e+03
6.210500000000000000e+03 6.210500000000000000e+03
4.260399999999999636e+03 4.260399999999999636e+03
5.028699999999999818e+03 5.028699999999999818e+03
4.764399999999999636e+03 4.764399999999999636e+03
4.773800000000000182e+03 4.773800000000000182e+03
4.879699999999999818e+03 4.879699999999999818e+03
6.772399999999999636e+03 6.772399999999999636e+03
4.322100000000000364e+03 4.322100000000000364e+03
5.041800000000000182e+03 5.041800000000000182e+03
5.417199999999999818e+03 5.417199999999999818e+03
3.556900000000000091e+03 3.556900000000000091e+03
3.560800000000000182e+03 3.560800000000000182e+03
4.471899999999999636e+03 4.471899999999999636e+03
3.421800000000000182e+03 3.421800000000000182e+03
4.669600000000000364e+03 4.669600000000000364e+03
4.144300000000000182e+03 4.144300000000000182e+03
6.035199999999999818e+03 6.035199999999999818e+03
5.773500000000000000e+03 5.773500000000000000e+03
4.741000000000000000e+03 4.741000000000000000e+03
5.958300000000000182e+03 5.958300000000000182e+03
3.713000000000000000e+03 3.713000000000000000e+03
3.601599999999999909e+03 3.601599999999999909e+03
3.678500000000000000e+03 3.678500000000000000e+03
4.554199999999999818e+03 4.554199999999999818e+03
4.899100000000000364e+03 4.899100000000000364e+03
4.962800000000000182e+03 4.962800000000000182e+03
5.894800000000000182e+03 5.894800000000000182e+03
5.883800000000000182e+03 5.883800000000000182e+03
4.566000000000000000e+03 4.566000000000000000e+03
5.580800000000000182e+03 5.580800000000000182e+03
4.416500000000000000e+03 4.416500000000000000e+03
3.992000000000000000e+03 3.992000000000000000e+03
3.594099999999999909e+03 3.594099999999999909e+03
5.400800000000000182e+03 5.400800000000000182e+03
3.598199999999999818e+03 3.598199999999999818e+03
5.258100000000000364e+03 5.258100000000000364e+03
3.466000000000000000e+03 3.466000000000000000e+03
5.020399999999999636e+03 5.020399999999999636e+03
5.152899999999999636e+03 5.152899999999999636e+03
5.728399999999999636e+03 5.728399999999999636e+03
5.748199999999999818e+03 5.748199999999999818e+03
4.438899999999999636e+03 4.438899999999999636e+03
3.370599999999999909e+03 3.370599999999999909e+03
5.156000000000000000e+03 5.156000000000000000e+03
4.419100000000000364e+03 4.419100000000000364e+03
4.830600000000000364e+03 4.830600000000000364e+03
3.912500000000000000e+03 3.912500000000000000e+03
4.143500000000000000e+03 4.143500000000000000e+03
4.509300000000000182e+03 4.509300000000000182e+03
3.434900000000000091e+03 3.434900000000000091e+03
4.430000000000000000e+03 4.430000000000000000e+03
4.561600000000000364e+03 4.561600000000000364e+03
5.571899999999999636e+03 5.571899999999999636e+03
4.205300000000000182e+03 4.205300000000000182e+03
4.230399999999999636e+03 4.230399999999999636e+03
3.294400000000000091e+03 3.294400000000000091e+03
5.382600000000000364e+03 5.382600000000000364e+03
4.537500000000000000e+03 4.537500000000000000e+03
6.170000000000000000e+03 6.170000000000000000e+03
4.706300000000000182e+03 4.706300000000000182e+03
4.387500000000000000e+03 4.387500000000000000e+03
5.826300000000000182e+03 5.826300000000000182e+03
5.787800000000000182e+03 5.787800000000000182e+03
3.633500000000000000e+03 3.633500000000000000e+03
5.298500000000000000e+03 5.298500000000000000e+03
4.450000000000000000e+03 4.450000000000000000e+03
6.129100000000000364e+03 6.129100000000000364e+03
3.647300000000000182e+03 3.647300000000000182e+03
5.855500000000000000e+03 5.855500000000000000e+03
3.475800000000000182e+03 3.475800000000000182e+03
6.025500000000000000e+03 6.025500000000000000e+03
6.128300000000000182e+03 6.128300000000000182e+03
9.463899999999999636e+03 9.463899999999999636e+03
4.961399999999999636e+03 4.961399999999999636e+03
3.462500000000000000e+03 3.462500000000000000e+03
4.255600000000000364e+03 4.255600000000000364e+03
4.565000000000000000e+03 4.565000000000000000e+03
3.473000000000000000e+03 3.473000000000000000e+03
4.687300000000000182e+03 4.687300000000000182e+03
5.168199999999999818e+03 5.168199999999999818e+03
3.751699999999999818e+03 3.751699999999999818e+03
4.834199999999999818e+03 4.834199999999999818e+03
4.325600000000000364e+03 4.325600000000000364e+03
3.822199999999999818e+03 3.822199999999999818e+03
5.481800000000000182e+03 5.481800000000000182e+03
4.734000000000000000e+03 4.734000000000000000e+03
4.764100000000000364e+03 4.764100000000000364e+03
5.751899999999999636e+03 5.751899999999999636e+03
6.269199999999999818e+03 6.269199999999999818e+03
3.731000000000000000e+03 3.731000000000000000e+03
5.273399999999999636e+03 5.273399999999999636e+03
5.281600000000000364e+03 5.281600000000000364e+03
3.801000000000000000e+03 3.801000000000000000e+03
3.537300000000000182e+03 3.537300000000000182e+03
5.698199999999999818e+03 5.698199999999999818e+03
3.057800000000000182e+03 3.057800000000000182e+03
3.715800000000000182e+03 3.715800000000000182e+03
5.264399999999999636e+03 5.264399999999999636e+03
5.139100000000000364e+03 5.139100000000000364e+03
3.185199999999999818e+03 3.185199999999999818e+03
5.161399999999999636e+03 5.161399999999999636e+03
4.911199999999999818e+03 4.911199999999999818e+03
3.429500000000000000e+03 3.429500000000000000e+03
3.786300000000000182e+03 3.786300000000000182e+03
5.352100000000000364e+03 5.352100000000000364e+03
5.532000000000000000e+03 5.532000000000000000e+03
